Month,Year,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
1,17,553557,186301,186029
2,17,568637,185720,184598
3,17,577674,186892,184977
4,17,590797,180908,184930
5,17,582764,176970,185463
6,17,584258,176707,187500
7,17,594414,173195,184246
8,17,596567,170524,183744
9,17,606334,172872,183599
10,17,607838,169368,184047
11,17,627422,170948,185312
12,17,642798,172999,182773
1,18,665716,168450,181763
2,18,645064,164657,183267
3,18,645235,166148,180751
4,18,652303,155989,179410
5,18,668940,155344,181890
6,18,646931,157150,179399
7,18,652790,148947,178299
8,18,652395,148873,178601
9,18,648126,151384,188152
10,18,607645,148037,183432
11,18,592593,146452,178810
12,18,554285,159572,190743
1,19,568433,151804,186050
2,19,581205,149686,181955
3,19,574013,141074,180765
4,19,588721,143802,178523
